Year,pinochet helicopter,free helicopter ride,pinochet
2013,0.0,0.0,78.0
2014,0.0,0.0,1019.0
2015,0.0,51.0,1699.0
2016,32.0,883.0,5525.0
2017,84.0,2095.0,8612.0
2018,34.0,1007.0,5120.0
2019,15.0,665.0,4022.0
2020,22.0,1101.0,3822.0
2021,11.0,486.0,2756.0
2022,16.0,345.0,1909.0
2023,3.0,272.0,1244.0
2024,10.0,264.0,1040.0
2025,2.0,103.0,345.0
